id,fullname
7a1f0c38-6d92-4d98-af1c-6e6820bf2e01,Stephen King
e3b7e43e-4c6a-4bac-a1c1-c5e4ad28c702,J. K. Rowling
f4817343-d3cc-4ee1-9f6d-b4cbadb1cc57,George Orwell
60ef8289-4f5e-4d7d-b4db-b59dfb2f5bf2,Ray Bradbury
1a778d45-5f0e-465c-8ee3-1dc1f7ceb6cf,Agatha Christie
0b9c45d4-5c76-4ee2-bd4f-b2e8d84e831b,Ernest Hemingway
9cc44a1a-6d9b-4f49-bd0b-c4ee65764edb,Leo Tolstoy
38c69d65-f0b1-4843-9f0e-0a670c98f4b2,Fyodor Dostoevsky
e7910ce8-a294-4fbf-90be-e0d4b1560f4a,Isaac Asimov
1ac736c2-8ded-4d5d-95c0-52bb12a4b604,Arthur C. Clarke
f67f3fa7-a6bf-4ff4-a91f-2dba771f9f91,Stephen Hawking
8c0a7f7f-34cc-4a6a-8647-9658bbd4c2f9,Carl Sagan
c709fc21-316b-4fc0-aa7a-8b4499e6c27c,Neil Gaiman
8beaa81e-fd65-40aa-8bc7-2358ef48e5fc,Terry Pratchett
07a14783-eea7-44f2-9ddb-2a7c79d97b92,Philip K. Dick
cc92f52e-b876-4cc6-a400-b6b6a57b7fa2,Brandon Sanderson
6f48ee54-a50a-4875-a6ea-bbd02d5d7c18,Frank Herbert
91bcfe46-4d73-4888-8a92-d8a52fb7e4a9,J. R. R. Tolkien
fd927ce3-eaef-47c8-ac50-cc3c72f19a33,Dan Brown
375a3e21-7486-4bf9-a2e6-bac52ff4a5ef,Haruki Murakami
0c65bb89-3a43-4ce5-83bd-6006ab5bda8f,H. P. Lovecraft
b50f21ae-7470-4622-a35c-b2390d253f70,Mark Twain
0d322a2f-1ab6-463e-9e9e-d84f036fa0e1,Charles Dickens
8fd7e6bd-232a-4572-bf60-d243fb414a86,Victor Hugo
b1f89e68-08cd-4b9e-aa74-10a61a5fa9d6,Jack London
be7a8bf4-8ffc-4f2a-b82d-389f8d96b2c1,Alexandre Dumas
4ed7d176-03df-4b6d-8a2f-6287b756a6de,Robert Louis Stevenson
b563f0fd-af9f-45f0-a6ca-1958c2ee6105,Jules Verne
931d50f9-efc9-40e7-93cd-1df053812778,Louisa May Alcott
aaf1dcad-91e1-4a15-8814-1d0d59abbf16,Oscar Wilde
