title,author,year_of_publication
"The Pragmatic Programmer","Andrew Hunt, David Thomas",1999
"Clean Code","Robert C. Martin",2008
"Effective Java","Joshua Bloch",2018
"Design Patterns","Erich Gamma et al.",1994
"Refactoring","Martin Fowler",1999
"Java Concurrency in Practice","Brian Goetz",2006
"Head First Design Patterns","Eric Freeman",2004
"Spring in Action","Craig Walls",2021
"Hibernate in Action","Christian Bauer",2005
"Microservices Patterns","Chris Richardson",2018
"Kotlin in Action","Dmitry Jemerov",2017
"You Don't Know JS","Kyle Simpson",2015
"Java: The Complete Reference","Herbert Schildt",2019
"Algorithms","Robert Sedgewick",2011
"Cracking the Coding Interview","Gayle Laakmann McDowell",2015
"Clean Architecture","Robert C. Martin",2017
"The Phoenix Project","Gene Kim",2013
"The Mythical Man-Month","Fred Brooks",1975
"Soft Skills","John Sonmez",2014
"Working Effectively with Legacy Code","Michael Feathers",2004
